row_id,zone,state,lga,period,live_births_count
251,South East,Abia,ab Ikwuano Local Government Area,21-Nov,26
252,South East,Abia,ab Ikwuano Local Government Area,21-Dec,6
253,South East,Abia,ab Ikwuano Local Government Area,22-Jan,17
254,South East,Abia,ab Ikwuano Local Government Area,22-Feb,31
255,South East,Abia,ab Ikwuano Local Government Area,22-Mar,39
256,South East,Abia,ab Ikwuano Local Government Area,22-Apr,34
257,South East,Abia,ab Ikwuano Local Government Area,22-May,40
258,South East,Abia,ab Ikwuano Local Government Area,22-Jun,32
259,South East,Abia,ab Ikwuano Local Government Area,22-Jul,26
260,South East,Abia,ab Ikwuano Local Government Area,22-Aug,49
261,South East,Abia,ab Ikwuano Local Government Area,22-Sep,38
262,South East,Abia,ab Ikwuano Local Government Area,22-Oct,40
263,South East,Abia,ab Ikwuano Local Government Area,22-Nov,36
264,South East,Abia,ab Ikwuano Local Government Area,22-Dec,42
265,South East,Abia,ab Ikwuano Local Government Area,23-Jan,33
266,South East,Abia,ab Ikwuano Local Government Area,23-Feb,22
267,South East,Abia,ab Ikwuano Local Government Area,23-Mar,25
268,South East,Abia,ab Ikwuano Local Government Area,23-Apr,35
269,South East,Abia,ab Ikwuano Local Government Area,23-May,2
270,South East,Abia,ab Ikwuano Local Government Area,23-Jun,50
271,South East,Abia,ab Ikwuano Local Government Area,23-Jul,31
272,South East,Abia,ab Ikwuano Local Government Area,23-Aug,38
273,South East,Abia,ab Ikwuano Local Government Area,23-Sep,37
274,South East,Abia,ab Ikwuano Local Government Area,23-Oct,39
275,South East,Abia,ab Ikwuano Local Government Area,23-Nov,43
276,South East,Abia,ab Ikwuano Local Government Area,23-Dec,50
277,South East,Abia,ab Ikwuano Local Government Area,24-Jan,42
278,South East,Abia,ab Ikwuano Local Government Area,24-Feb,21
279,South East,Abia,ab Ikwuano Local Government Area,24-Mar,25
280,South East,Abia,ab Ikwuano Local Government Area,24-Apr,25
281,South East,Abia,ab Ikwuano Local Government Area,24-May,50
282,South East,Abia,ab Ikwuano Local Government Area,24-Jun,41
283,South East,Abia,ab Ikwuano Local Government Area,24-Jul,44
284,South East,Abia,ab Ikwuano Local Government Area,24-Aug,36
285,South East,Abia,ab Ikwuano Local Government Area,24-Sep,47
286,South East,Abia,ab Ikwuano Local Government Area,24-Oct,68
287,South East,Abia,ab Ikwuano Local Government Area,24-Nov,63
288,South East,Abia,ab Ikwuano Local Government Area,24-Dec,54
289,South East,Abia,ab Ikwuano Local Government Area,25-Jan,41
